type,status,folder,title,local_path_or_link_file,source_url,rag_topic
pdf,downloaded,04_graduation,Quy trình Đồ án tốt nghiệp/Luận văn thạc sĩ 2025,/pdfs/04_graduation/quy_trinh_do_an_tot_nghiep_luan_van_2025.pdf,https://hcmut.edu.vn/document/1766459526538_Quy%20tr%C3%ACnh%20T%E1%BB%95%20ch%E1%BB%A9c%20th%E1%BB%B1c%20hi%E1%BB%87n%20%C4%91%C3%A1nh%20gi%C3%A1%20%C4%90A%20t%E1%BB%91t%20nghi%E1%BB%87p-lu%E1%BA%ADn%20v%C4%83n%20th%E1%BA%A1c%20s%C4%A9_%2001.12.2025_c%E1%BA%A3i%20ti%E1%BA%BFn.signed.signed.pdf,"Đồ án tốt nghiệp, khóa luận, luận văn"
pdf,downloaded,04_graduation,"Quy trình Quản lý, cấp văn bằng, chứng chỉ 2025",/pdfs/04_graduation/quy_trinh_quan_ly_cap_van_bang_chung_chi_2025.pdf,https://hcmut.edu.vn/document/1751629383714_BK_QT_ED_011_02_Quy%20trinh%20Quan%20ly_Cap%20Van%20bang%20Chung%20chi_01.7.2025.signed.pdf,"Văn bằng, bảng điểm, phụ lục văn bằng, chứng chỉ"
pdf,downloaded,04_graduation,Quy trình Thực tập ngoài trường 2025,/pdfs/04_graduation/quy_trinh_thuc_tap_ngoai_truong_2025.pdf,https://hcmut.edu.vn/document/1753860329492_2.Quy%20tr%C3%ACnh%20th%E1%BB%B1c%20t%E1%BA%ADp%20ngo%C3%A0i%20tr%C6%B0%E1%BB%9Dng%20BK-QT-ED-046-20.pdf,Thực tập ngoài trường
html,link_only,01_academic,Trang Quy chế - Quy định HCMUT,links/hcmut_quy_che_quy_dinh.url,https://hcmut.edu.vn/dao-tao/quy-che-quy-dinh,"Nguồn tổng hợp quy định học vụ, giảng dạy, thi, đồ án, thực tập"
html,link_only,07_curriculum,Chương trình đào tạo đại học,links/hcmut_chuong_trinh_dao_tao.url,https://hcmut.edu.vn/dao-tao/chuong-trinh-dao-tao,"Chương trình đào tạo, kế hoạch giảng dạy, ngành"
html,link_only,05_standards,Ngoại ngữ - MyBK,links/mybk_ngoai_ngu.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/ngoai-ngu,"Chuẩn ngoại ngữ, xét miễn Anh văn, chuẩn tốt nghiệp"
html,link_only,02_academic_services,Đăng ký môn học - Quy định - Hướng dẫn chung,links/mybk_dang_ky_mon_hoc_huong_dan_chung.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/dang-ky-mon-hoc-quy-trinh-huong-dan-chung,"Điều kiện ĐKMH, GDTC, chuẩn sinh viên"
html,link_only,02_academic_services,Quy trình đăng ký môn học,links/mybk_quy_trinh_dang_ky_mon_hoc.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/quy-trinh-dang-ky-mon-hoc,"Đợt ĐKMH, hậu kiểm, thực tập ngoài trường"
html,link_only,05_standards,Bảng lịch trình cập nhật chuẩn 2025-2026,links/mybk_lich_trinh_cap_nhat_chuan_2025_2026.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/bang-lich-trinh-cac-moc-thoi-gian-cap-nhat-cac-chuan-dang-ky-mon-hoc-theo-lich-hoc-vu-hk-242-hk-243,Lịch cập nhật chuẩn AV/CNTT/GDQP/GDTC/điểm
html,link_only,05_standards,Bảng tổng hợp quy định các chuẩn,links/mybk_bang_tong_hop_quy_dinh_cac_chuan.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/bng-tng-hp-quy-nh-cc-chun-p-dng-cho-k-ng-k-mn-hc-ti-hk223-ngy-01032023,Chuẩn đăng ký môn học và tốt nghiệp
html,link_only,01_academic,Đánh giá kết quả học tập - MyBK,links/mybk_danh_gia_ket_qua_hoc_tap.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/danh-gia-ket-qua-hoc-tap,"Điểm, học lại, cải thiện, đánh giá kết quả"
html,link_only,02_academic_services,Học phí - MyBK,links/mybk_hoc_phi.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/hoc-phi,"Thanh toán học phí, thời hạn, hỗ trợ khó khăn"
html,link_only,02_academic_services,Rút môn học - MyBK,links/mybk_rut_mon_hoc.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/rut-mon-hoc,"Điều kiện rút môn, điểm R/RT"
html,link_only,02_academic_services,Hoãn thi giữa kỳ và cuối kỳ - MyBK,links/mybk_hoan_thi.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/hoan-thi-giua-ky-va-cuoi-ky,"Điều kiện hoãn thi, thời hạn đăng ký"
html,link_only,04_graduation,Các câu hỏi liên quan đến tốt nghiệp - MyBK,links/mybk_cau_hoi_tot_nghiep.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/cac-cau-hoi-lien-quan-den-tot-nghiep,"Xếp loại tốt nghiệp, văn bằng tốt nghiệp"
html,link_only,02_academic_services,Đào tạo song ngành - MyBK,links/mybk_dao_tao_song_nganh.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/do-tao-song-nganh,"Song ngành, ngành thứ hai"
html,link_only,02_academic_services,Kéo dài thời gian đào tạo - MyBK,links/mybk_keo_dai_thoi_gian_dao_tao.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/keo-dai-thoi-gian-dao-tao,Gia hạn thời gian đào tạo
html,link_only,04_graduation,Đăng ký thông tin văn bằng - MyBK,links/mybk_dang_ky_thong_tin_van_bang.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/dang-ky-thong-tin-van-bang,"Thông tin in bằng, văn bằng"
html,link_only,05_standards,CNTT cơ bản - MyBK,links/mybk_cntt_co_ban.url,https://mybk.hcmut.edu.vn/bksi/public/vi/blog/huong-dan-du-thi-kiem-tra-danh-gia-ky-nang-su-dung-cntt-co-ban,"Chuẩn CNTT, thi chứng chỉ"
html,link_only,08_student_life,Sổ tay sinh viên 2025-2026,links/hcmut_so_tay_sinh_vien_2025_2026.url,https://hcmut.edu.vn/tintuc/so-tay-sinh-vien-2025-2026,"Sổ tay sinh viên, tổng hợp quy định và hướng dẫn"
